 MC-cycles  Accepted_Steps      Dimensions       Particles      Steplength           alpha          dalpha            beta           dbeta          Energy        Variance            Time          Thread
     65536           65522               3               1            0.01             0.3        -2.90408               1        -0.32807         1.72276        0.464652        0.543272               0
     65536           65488               3               1            0.01        0.590408        0.414968               1       0.0846581          1.5298       0.0409081        0.611469               0
     65536           65501               3               1            0.01        0.548911        0.266459               1       0.0554935         1.50118       0.0136702        0.618107               0
     65536           65501               3               1            0.01        0.522265        0.126136               1       0.0232974         1.50243      0.00287097        0.688287               0
     65536           65508               3               1            0.01        0.509651       0.0622253               1       0.0117247         1.49885      0.00060636        0.683768               0
     65536           65510               3               1            0.01        0.503429       0.0195954               1      0.00314185         1.49981     6.74215e-05        0.679194               0
     65536           65499               3               1            0.01        0.501469       0.0100774               1      0.00138509         1.49976     1.48292e-05        0.636201               0
     65536           65515               3               1            0.01        0.500462      0.00259187               1     0.000476655         1.50005     1.19707e-06        0.689586               0
     65536           65511               3               1            0.01        0.500202      0.00124092               1     0.000253801         1.49999     2.51284e-07        0.654653               0
     65536           65514               3               1            0.01        0.500078     0.000415548               1     7.82516e-05         1.50001     3.25664e-08        0.643769               0
     65536           65501               3               1            0.01        0.500037     0.000214126               1     3.53895e-05             1.5     7.88204e-09        0.683268               0
     65536           65505               3               1            0.01        0.500015     8.87685e-05               1     1.34107e-05             1.5     1.36674e-09        0.713668               0
     65536           65502               3               1            0.01        0.500007      3.6759e-05               1     6.28216e-06             1.5     2.39621e-10        0.673721               0
     65536           65503               3               1            0.01        0.500003     1.93039e-05               1      2.7593e-06             1.5     5.49139e-11        0.686159               0
     65536           65512               3               1            0.01        0.500001     5.54416e-06               1      9.4592e-07             1.5     5.05107e-12        0.667225               0
